domain,status,display_price,BIN_price,min_offer,notes
abbaparty.co.uk,FOR_SALE,549,744,425,Entertainment
abbaparty.com,PREMIUM,4500,5180,1800,Entertainment
anarchism.uk,FOR_SALE,2286,2926,966,Popular
apeespresso.co.uk,FOR_SALE,322,459,261,Hospatility 
applefc.co.uk,PREMIUM,922,1448,609,Popular
applefmip.co.uk,FOR_SALE,554,778,382,Mobile Device
applefmip.com,PREMIUM,3848,4494,1651,Mobile Device
applerecycle.com,PREMIUM,2416,2828,1000,Circular
appletart.co.uk,PREMIUM,1836,2139,800,Hospatility 
appletart.com,PREMIUM,3504,4065,1456,Hospatility 
appletart.uk,FOR_SALE,314,365,207,Hospatility 
auctiontele.com,PREMIUM,2830,3296,1217,eCommerce
auctiontelecom.com,PREMIUM,2927,3399,1257,eCommerce
bejam.co.uk,PREMIUM,4376,5045,1820,Brandable
biggsm.co.uk,FOR_SALE,920,1285,658,Mobile Device
boatdisco.co.uk,FOR_SALE,455,692,375,Entertainment
boatdisco.com,PREMIUM,3600,4168,1516,Entertainment
bondball.co.uk,PREMIUM,215,376,111,Entertainment
btyouview.co.uk,FOR_SALE,1050,1428,690,Tech
btyouview.com,FOR_SALE,1084,1656,664,Tech
buyflow.co.uk,PREMIUM,3019,3532,1349,eCommerce
checkclaim.co.uk,PREMIUM,2186,2534,925,Insurance
checkclaim.net,PREMIUM,2216,2610,921,Insurance
checkclaims.co.uk,PREMIUM,1973,2284,863,Insurance
checkclaims.net,PREMIUM,1810,2082,806,Insurance
checkdevice.co.uk,PREMIUM,2401,2861,1077,Mobile Device
checkfone.co.uk,FOR_SALE,2399,2792,1075,Mobile Device
checkphone.co.uk,PREMIUM,2402,2825,1080,Mobile Device
checkphones.co.uk,FOR_SALE,2202,2560,999,Mobile Device
chigsat.co.uk,FOR_SALE,1251,1735,769,Tech
chigsat.com,FOR_SALE,1587,2097,1126,Tech
circularcyclers.co.uk,FOR_SALE,470,667,280,Circular
circularity.ltd,PREMIUM,1453,1701,602,Circular
cloakanddagger.co.uk,PREMIUM,1778,2085,800,Brandable
device4life.co.uk,FOR_SALE,954,1263,770,Mobile Device
devicecheck.co.uk,PREMIUM,2408,2769,1099,Mobile Device
deviceforlife.co.uk,FOR_SALE,898,1031,716,Mobile Device
discoboat.co.uk,FOR_SALE,651,876,496,Entertainment
domaines.co.uk,PREMIUM,12911,15312,6021,Premium
dominiumrepublic.co.uk,FOR_SALE,976,1343,589,eCommerce
dominiumrepublic.com,PREMIUM,3007,3578,1323,eCommerce
eliquidations.co.uk,PREMIUM,2717,3246,1190,eCommerce
environmobile.co.uk,FOR_SALE,869,1071,711,Mobile Device
espressooo.co.uk,FOR_SALE,369,520,307,Hospatility 
espressooo.com,FOR_SALE,466,653,342,Hospatility 
esprimere.co.uk,FOR_SALE,430,564,337,Hospatility 
esprimere.uk,FOR_SALE,424,588,336,Hospatility 
flytippers.co.uk,FOR_SALE,1284,1519,816,Popular
freemend.co.uk,PREMIUM,3751,4480,1603,Popular
friggin.co.uk,PREMIUM,3107,3598,1354,Popular
goandrecycle.co.uk,FOR_SALE,1960,2268,863,Mobile Device
goandrecycle.com,PREMIUM,3010,3548,1315,Mobile Device
